Proposal ID,Date,Country,Event,Primary source,Final URL,Proposed action,Confidence,Evidence,Review status,Created,Last checked
EV-CB86465AC0,2027-02-13 to 2027-02-19,France,Trophée des Lacs – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-975792F04C,2027-02-27 to 2027-02-28,Germany,Schwabentrail – Canicross,https://vdsv.de/kalender/,https://vdsv.de/kalender/,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-D004C97C3E,2027-02-28,France,Interclub Manchois,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-C1416C1B6D,2027-02-28,France,Interclub Manchois – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-5ACEDA0271,2027-02-28,UK,Fountains Abbey Wild Trail Runs,https://gotrail.run/en/race/fountains-abbey-wild-trail-runs,https://gotrail.run/en/event/fountains-abbey-wild-trail-runs,review-source-change,medium,Source fingerprint changed since the previous validation.,pending,2026-09-21,2026-09-23
EV-DAAA5F9B36,2027-03-07,UK,Lakeland Paws – Tour de Grizedale,https://lakelandpaws.com/grizedale-growl-tour-de-grizedale/,https://lakelandpaws.com/grizedale-growl-tour-de-grizedale/,review-source-change,medium,Source fingerprint changed since the previous validation.,pending,2026-09-21,2026-09-23
EV-F718EDB4AF,2027-03-13 to 2027-03-14,Germany,Vulcanicross – Canicross,https://vdsv.de/kalender/,https://vdsv.de/kalender/,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-BD90C16588,2027-03-20,UK,Maverick Hampshire Trail 2027,https://www.maverick-race.com/products/2027/2027-03-20,https://www.maverick-race.com/products/2027/2027-03-20,manual-source-check,medium,Automated access failed (403); do not infer an event change.,pending,2026-09-21,2026-09-23
EV-7506099009,2027-04-03,UK,Maverick East Sussex Trail 2027,https://www.maverick-race.com/products/the-maverick-east-sussex-trail-2027,https://www.maverick-race.com/products/the-maverick-east-sussex-trail-2027,manual-source-check,medium,Automated access failed (403); do not infer an event change.,pending,2026-09-21,2026-09-23
EV-4E84D08267,2027-04-03 to 2027-04-04,France,Canicross du Lac des Sapins,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-002537FB9C,2027-04-10 to 2027-04-11,France,Canicross XtremTrail de Brameloup,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-C1A77A754E,2027-04-10 to 2027-04-11,France,Canicross XtremTrail de Brameloup – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-93DAD6ECD6,2027-04-10 to 2027-04-11,France,Canicross XtremTrail de Brameloup – Canitrail,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-BA13A6D6B3,2027-04-24,UK,Lakeland Paws – Dogs @ Dodd Double Header,https://lakelandpaws.com/events/,https://lakelandpaws.com/events/,review-source-change,medium,Source fingerprint changed since the previous validation.,pending,2026-09-21,2026-09-23
EV-E397130B40,2027-04-24 to 2027-04-25,France,4e Castel'Canicross de Blangy le Château – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-291F9B2CFD,2027-04-24 to 2027-04-25,France,4e Castel’Canicross de Blangy-le-Château,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-320307ABC9,2027-04-24 to 2027-04-25,France,4eme Castel'Canicross de Blangy le Château – Canitrail,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-63F5CA4F02,2027-04-24 to 2027-04-25,France,Castel'Canicross de Blangy le Château – 4e,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-C400598394,2027-04-25,UK,Lakeland Paws – Whinlatter Tails Seat How Double Header,https://lakelandpaws.com/events/,https://lakelandpaws.com/events/,review-source-change,medium,Source fingerprint changed since the previous validation.,pending,2026-09-21,2026-09-23
EV-00B9A0F4A9,2027-05-22,UK,Maverick Cotswolds Trail 2027,https://www.maverick-race.com/products/2027/2027-05-22,https://www.maverick-race.com/products/2027/2027-05-22,manual-source-check,medium,Automated access failed (403); do not infer an event change.,pending,2026-09-21,2026-09-23
EV-D83A2F63FC,2026-04-10 to 2026-04-12,UK,RAID Cani-Trail,https://www.canitrailuk.co.uk/about-1,https://www.canitrailuk.co.uk/about-1,replace-source-or-confirm-cancelled,high,Primary source returns HTTP 404.,rejected,2026-09-21,2026-09-23
EV-AD5CCC65AC,2026-04-25 to 2026-04-26,Switzerland,Canitrail des Moines,https://swiss-canicross.ch/courses/categorie/canitrails/,https://swiss-canicross.ch/courses/categorie/canitrails/,verify-event-identity,medium,Event-name match against fetched source text is weak.,approved,2026-09-21,2026-09-23
